car_park_no,address,x_coord,y_coord,night_parking
A98,BLK 259 ANG MO KIO AVE 2,27837.0334,39020.7488,YES
A99,BLK 181 ANG MO KIO AVE 5,28433.4999,39885.5496,NO
BA1,106 BIDADARI PARK DRIVE,32171.1116,35094.0857,YES
BA2,BLK 117 ALKAFF CRESCENT,32444.5217,35453.6678,YES
BA3,BLK 101 BIDADARI PARK DRIVE,32225.0311,35371.0933,YES
BA4,BLK 113 ALKAFF CRESCENT,32410.3926,35271.7364,YES
BA5,BLK 109 BIDADARI PARK DRIVE,32375.4954,35170.051,YES
BBB,BLK 232 BRAS BASAH BASEMENT CAR PARK,30264.1776,30994.7597,YES
BBM1,BLK 188A BUKIT BATOK WEST AVE 6,18213.6562,36507.8169,YES
BBM2,BLK 628A BUKIT BATOK CENTRAL,18714.471,36997.6927,YES
BBM3,BLK 289H BUKIT BATOK STREET 25,19831.2917,36294.3127,YES
BBM4,BLK 288H BUKIT BATOK STREET 25,19860.3631,36409.798,YES
BBM5,BLK 290H BUKIT BATOK STREET 24,19610.472,36154.6192,YES
BBM6,BLK 291F BUKIT BATOK STREET 24,19289.8168,36112.2533,YES
BBM7,BLK 154A BUKIT BATOK WEST AVE 8,18025.9428,36609.4062,YES
BBM8,BLK 622A BUKIT BATOK CENTRAL,18561.8095,36898.4253,YES
BBM9,BLK 395A BUKIT BATOK WEST AVE 5,18924.8161,38652.2819,YES
BE10,BLKS 168-180 BISHAN STREET 13,30223.1994,36651.8815,YES
BE11,BLK 181-186 BISHAN STREET 13,30194.9243,36877.2792,YES
BE12,BLK 187-197 BISHAN STREET 13,29963.6285,36903.1662,YES
BE13,BLK 135A BISHAN STREET 12,30026.4687,36336.1338,YES
BE14,BLK 167A BISHAN STREET 13,30460.9446,36576.481,YES
BE15,BLK 152A BISHAN STREET 11,30394.9029,36366.7901,YES
BE16,BISHAN PARK I,28193.9043,38482.8203,YES
BE17,BISHAN PARK II,29598.0859,38339.9922,YES
BE18,BLK 441-455 SIN MING/BRIGHT HILL DRIVE,27751.5586,37825.0781,NO
BE19,BLK 503/504 BISHAN STREET 11,29656.3321,36775.0947,YES
BE20,BLK 505 BISHAN STREET 11,29707.8648,36779.0905,YES
BE21,BLK 506/509 BISHAN STREET 11,29749.6768,36749.5862,YES
BE22,BLK 511/513 BISHAN STREET 13,29818.0559,36839.3645,YES
BE23,BLK 514 BISHAN STREET 13,29830.0702,36912.2681,YES
BE24,BLK 201/206 BISHAN STREET 23,29576.3203,37491.2812,NO
