name,car_park_no,address,weekday_before_5,weekday_after_5,sat,sun,postal,x_coord,y_coord
MAS Building,T0014,"10 Shenton Way, S(079117)",Season Parking Only ,Season Parking Only ,Season And Tenant Parking Only ,Season And Tenant Parking Only ,79117,29486.37718,28577.97775
MCYS Building,T0014,"512 Thomson Road, S(298136)",$0.80/30min from 7.30am to 6pm  ,$1.60/entry from 6.01pm to 7.30am the following day  ,"$1.60/entry from 7.30am to 12midnight, $2.00/entry from 12midnight to 7.30am the following day  ","$1.60/entry from 7.30am to 12midnight, $2.00/entry from 12midnight to 7.30am the following day  ",298136,28678.93001,35093.78561
Mediacorp,T0014,"1 Stars Ave, S(138507)",(Mon-Thu) $0.60/30min from 7am to 7am the following day ,(Mon-Thu) $0.60/30min from 7am to 7am the following day ,"(Fri-Sun) $0.60/30min from 10pm to 6pm the following day, $4.00/entry from 6pm to 10pm ","(Fri-Sun) $0.60/30min from 10pm to 6pm the following day, $4.00/entry from 6pm to 10pm ",138507,23434.24922,30896.37221
Mediapolis @ One-North,T0014,"31 Media Circle, S(138564)",(Mon-Thurs) $0.60/30min from 7am to 7pm ,(Mon-Thurs) $0.60/30min from 7pm to 7am the following day ,"(Fri-Sat) $0.60/30min from 10pm to 6pm the following day, $4.00/entry from 6pm to 10pm ","$0.60/30min from 10pm to 6pm the following day, $4.00/entry from 6pm to 10pm ",138564,23492.24549,30826.41325
Midpoint Orchard,T0014,"220 Orchard Road, S(238852)",No Car Park ,No Car Park ,No Car Park ,No Car Park ,238852,28594.41317,31568.97802
Midview City,T0014,18 Sin Ming Lane S(573960),"1st hr free, $1.00/hr from 7am to 7pm ","Free parking from 7pm to 12midnight, $6.00/entry from 12midnight to 7am the following day ","Free parking from 7am to 12midnight, overnight charge from 12midnight to 7am the following day ","Free parking from 7am to 12midnight, overnight charge from 12midnight to 7am the following day ",573960,28072.35311,37893.37279
Millenia Tower,T0014,"1 Temasek Avenue, S(039192)","$3.30 for 1st hr, $1.10 for next subsequent 30min from 7am to 6pm ",$2.20/entry from 6pm to 7am the following day ,"$2.20 for 1st 2hr, $1.10 for next subsequent hr from 7am to 7am the following day ","$2.20 for 1st 2hr, $1.10 for next subsequent hr from 7am to 7am the following day ",39192,31002.71372,30562.51
Ministry of Education Building (MOE),T0014,"1 North Buona Vista Drive, S(138675)","$2.00/hr for 1st 2hr, $3.00 for next subsequent hr from 6am to 5.59pm ",$1.20/hr from 6pm to 5.59am the following day ,$1.20/hr from 6am to 5.59am the following day ,$1.20/hr from 6am to 5.59am the following day ,138675,23276.34299,31937.0716
Ministry of Manpower (MOM),T0014,"18 Havelock Road, S(059764)",Not for public ,Not for public ,Not for public ,Not for public ,59764,29186.15691,30006.01741
Mountbatten Square,T0014,"229 Mountbatten Road, S(398007)",$1.20/hr from 6am to 5.59pm ,$3.00/entry from 6pm to 5.59am the following day ,Charges same as weekdays ,Charges same as weekdays ,398007,33336.6379,32198.42641
Mustafa Centre,T0014,"145 Syed Alwi Road, S(207704)","1st hr free, $1.00 for next subsequent 30min from 7am to 7am the following day ","1st hr free, $1.00 for next subsequent 30min from 7am to 7am the following day ",Charges same as weekdays ,Charges same as weekdays ,207704,30413.1661,32537.8224
NCS Hub,T0014,"5 Ang Mo Kio Street 62, S (569141)","$1.07 for 1st hr, $0.75 for next subsequent 30min up to a maximum charge of $10.70 ","$1.07 for 1st hr, $0.75 for subsequent hr up to a maximum charge of $10.70 ",Charges same as weekdays ,Charges same as weekdays ,569141,29192.4331,41093.77839
New Parliament House,T0014,"1 Parliament Place, S(178880)",$1.36/30min from 8am to 6pm ,$2.39 per 4hr block from 6.01pm to 7.59am the following day ,Charges same as weekdays ,$2.39 per 4hr block from 8am to 7.59am the following day ,178880,29895.34246,30135.59086
New Tech Park,T0014,"151 Lorong Chuan, S(556741)",$1.40/hr from 7.01am to 6pm ,$1.50/entry from 6.01pm to 7am the following day ,Charges same as weekdays ,$2.00/entry from 7.01am to 7am the following day ,556741,31047.0581,37129.6753
Noel Corporate Building,T0014,"50 Kallang Avenue, S(339505)","$2.14 for 1st hr, $1.20 for next subsequent 30min from 8am to 5pm ","$2.14 for 1st hr, $1.20 for next subsequent 30min from 5pm to 8am the following day ",Charges same as weekdays ,Charges same as weekdays ,339505,31710.8095,32775.08723
North Bridge Centre,T0014,"420 North Bridge Road, S(188727)",$1.50/30min from 8am to 4.59pm ,$4.00/entry from 5pm to 11pm ,Charges same as weekdays ,$4.00/entry from 8am to 11pm ,188727,30406.78691,31065.07872
NTUC Income Centre,T0014,"75 Bras Basah Road, S(189557)",$1.10/30min from 6.30am to 5pm ,$3/entry from 5pm to 11pm ,Charges same as weekdays ,$3/4hr block or part thereof from 12am to 12am the following day ,189557,30050.05756,30995.80248
NTUC Income Tampines Junction,T0014,"300 Tampines Avenue 5, S(529653)","$1.50/hr for 1st hr, $0.75 for next subsequent 30min from 6am to 6pm ",$2.50/entry from 6pm to 6am the following day ,Charges same as weekdays ,$3.00/entry from 6am to 6am the following day ,529653,40090.70313,37154.63307
NTUC Income Tampines Point,T0014,"2 Tampines Central 6, S(529483)","$1.50/hr for 1st hr, $0.75 for next subsequent 30min from 6am to 6pm ",$3.00/entry from 6pm to 6am the following day ,Charges same as weekdays ,$3.00/entry from 6am to 6am the following day ,529483,40150.55843,37208.7011
NTUC Prinsep House,T0014,"30 Prinsep Street, S(188647)",$1.25/30min from 7am to 5.59pm ,$3.50/entry from 6pm to 6.59am the following day ,Charges same as weekdays ,Charges same as weekdays ,188647,29793.84044,31264.99043
OCBC Centre,T0014,"65 Chulia Street, S(049513)",$2.60/30min from 6am to 6pm ,"$3.30/entry from 6pm to 12midnight, $3.30/hr from 12midnight to 6am the following day ","$3.30/entry from 6am to 12midnight, $3.30/hr from 12midnight to 6am the following day ","$3.30/entry from 6am to 12midnight, $3.30/hr from 12midnight to 6am the following day ",49513,29754.02191,29719.4388
OCBC Tampines Centre 2,T0014,"31 Tampines Avenue 4, S(529680)",Private Car Park ,Private Car Park ,Private Car Park ,Private Car Park ,529680,40139.67891,37146.9408
Ocean Financial Centre,T0014,"10 Collyer Quay, S(049315)",$1.20/10min from 6am to 6.29pm ,$5.90/entry from 6.30pm to 5.59am the following day ,"$1.20/10min from 6am to 12.59pm, $5.90/entry from 1pm to 5.59am the following day ",$5.90/entry from 6am to 5.59am the following day ,49315,30061.56472,29528.69282
Odeon Towers,T0014,"331 North Bridge Road, S(188720)","$2.20 for 1st hr, $1.10 for subsequent 30min from 7am to 5pm ",$2.20/entry from 5pm to 7am the following day ,"$2.20 for 1st hr, $0.90 for subsequent 30min from 7am to 5pm, $2.20/entry from 5pm to 7am the following day ","$2.20 for 1st hr, $0.90 for next subsequent 30min from 7am to 5pm, $2.20/entry from 5pm to 7am the following day  ",188720,30217.69785,30935.27629
One George Street,T0014,"1 George Street, S(049145)",$2.50/30min from 7am to 6pm ,$3.60/entry after 6pm to 7am the following day  ,"$2.50/30min from 7am to 1pm, $3.60/entry from 1pm to 7am the following day  ",$3.60/entry from 7am to 7am the following day ,49145,29612.53667,29787.11396
One Marina Boulevard,T0014,"1 Marina Boulevard, S(018989)",$2.89/30min from 7am to 5.30pm ,$3.75/entry from 5.30pm to 7am the following day ,"$2.89/30min from 7am to 1pm, $3.75/entry from 1pm to 7am the following day ",$3.75/entry from 7am to 7am the following day ,18989,30144.98516,29410.58502
One Raffles Place,T0014,"1 Raffles Place, S(048616)",$3.00/30min from 7am to 5pm ,$3.75/entry from 5pm to 7am the following day ,$3.75/entry from 7am to 7am the following day ,$3.75/entry from 7am to 7am the following day ,48616,29965.83094,29641.31202
One Raffles Quay,T0014,1 Raffles Quay S(048583),$1.18/10min block or part thereof from 6am to 6pm ,"$3.21 for 1st 4hr, $0.30/10min block or part thereof from 6pm to 6am the following day ","$3.21 for 1st 4hr, $0.30/10min block or part thereof from 6am to 6am the following day ","$3.21 for 1st 4hr, $0.30/10min block or part thereof from 6am to 6am the following day ",48583,30096.94679,29327.385
OrangeTee Building,T0014,"430 Lorong 6 Toa Payoh, S(319402)",$1.07/30min from 7am to 6pm ,"$0.54/30min from 6pm to 12midnight the following day, $2.14/entry from 12midnight to 7am ",$2.14/entry from 7am to 7am the following day ,$2.14/entry from 7am to 7am the following day ,319402,29788.52203,34844.73038
Orchard Building,T0014,"1 Grange Road, S(239693)",$1.40/30min from 6.30am to 6pm ,"$1.20/30min from 6pm to 11pm, $0.90/30min from 11pm to 6.30am the following day capped at maximum $7.20 for 4hrs ",Charges same as weekdays ,"$1.20/30min from 6.30am to 11pm, $0.90/30min from 11pm to 6.30am the following day capped at maximum $7.20 for 4hrs ",239693,28446.22606,31528.08598
Orchard Credit Building,T0014,"1 Chang Charn Road, S(159630)","$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 6.59pm ","$2.00 for 1st hr, $1.00 for next subsequent 30min from 7pm to 6.59am the following day ",Charges same as weekdays ,Charges same as weekdays ,159630,25647.60806,30120.6402
OUE Bayfront,T0014,"50 Collyer Quay, S(049321)",$1.07/10min from 7am to 5.59pm ,$3.75/entry from 6pm to 6.59am the following day ,"$1.07/10min from 7am to 2.59pm, $3.75/entry from 3pm to 11.59pm ",$3.75/entry from 7am to 7am the following day ,49321,30188.83948,29501.31924
OUE Downtown 1,T0014,"6 Shenton Way, S(068809)",$2.57/30min from 7am to 4.59pm ,$2.57/entry from 5pm to 6.59am the following day ,$2.57/entry from 7am to 6.59am the following day ,$2.57/entry from 7am to 6.59am the following day ,68809,29700.34325,28865.05368
OUE Downtown 2,T0014,"6 Shenton Way, S(068809)",$2.57/30min from 7am to 4.59pm ,$2.57/entry from 5pm to 6.59am the following day ,$2.57/entry from 7am to 6.59am the following day ,$2.57/entry from 7am to 6.59am the following day ,68809,29700.34325,28865.05368
Our Tampines Hub,T0014,"1 Tampines Walk, S(528523)",$0.02/min from 12am to 5.59pm ,$2.40/entry from 6pm to 11.59pm ,"$0.02/min from 12am to 5.59pm, $2.40/entry from 6pm to 11.59pm ","$0.02/min from 12am to 5.59pm, $2.40/entry from 6pm to 11.59pm ",528523,39938.99443,37143.02581
Pantech 21,T0014,"200 Pandan Loop, S(128388)","$1.00 for 1st hr, $0.50 for next subsequent 30min from 7.01am to 6pm ",$1.50/entry from 6.01pm to 7am the following day ,Charges same as weekdays ,Closed ,128388,18936.88646,32614.76005
Park Mall,T0014,"9 Penang Road, S(238459)",Carpark closed ,Carpark closed ,Carpark closed ,Carpark closed ,238459,29330.99996,31134.01787
Parkview Square,T0014,"600 North Bridge Road, S(188778)","$2.14/hr, $1.07 for next subsequent 30min from 7am to 5pm  ",$5.35/4hr from 5pm to 7am the following day  ,"$2.14/hr, $1.07 for next subsequent 30min from 7am to 1pm, $5.35/4hr from 1pm to 7am the following day ",$5.35/4hr from 7am to 7am the following day  ,188778,30693.04319,31388.83216
Paya Lebar Quarter (PLQ 1),T0014,"1 Paya Lebar Link, S(408533)",$2.30/hr from 6am to 5.59pm ,$1.93/hr from 6pm to 5.59am the following day ,$1.50/hr from 6am to 5.59am the following day ,$1.50/hr from 6am to 5.59am the following day ,408533,34740.73455,33321.94427
Paya Lebar Quarter (PLQ 2),T0014,"1 Paya Lebar Link, S(408533)",$2.30/hr from 6am to 5.59pm ,$1.93/hr from 6pm to 5.59am the following day ,$1.50/hr from 6am to 5.59am the following day ,$1.50/hr from 6am to 5.59am the following day ,408533,34740.73455,33321.94427
Paya Lebar Quarter (PLQ 3),T0014,"2 Tanjong Katong Road, S(437161)",$2.30/hr from 6am to 5.59pm ,$1.93/hr from 6pm to 5.59am the following day ,$1.50/hr from 6am to 5.59am the following day ,$1.50/hr from 6am to 5.59am the following day ,437161,34700.282,33136.23367
Peace Centre,T0014,"1 Sophia Road, S(228149)",$1.50/30min from 7am to 11pm ,$4.28/entry from 11.01pm to 6.59am the following day ,"$1.50/30min from 7am to 5pm, $4.28/entry from 5.01pm to 6.59am the following day ",$4.28/entry from 7am to 6.59am the following day ,228149,29808.61976,31499.76295
Peninsula Plaza,T0014,"111 North Bridge Road, S(179098)",Season Parking Only ,Season Parking Only ,Season Parking Only ,Season Parking Only ,179098,29924.67632,30512.7316
People's Park Centre,T0014,"101 Upper Cross Street, S(058357)",$1.71/30min from 7am to 5pm ,$3.20/entry from 5.01pm to 6.59am the following day ,Charges same as weekdays ,Charges same as weekdays ,58357,29172.28159,29769.05775
PIL Building,T0014,"140 Cecil Street, S(069540)",Private Car Park ,Private Car Park ,Private Car Park ,Private Car Park ,69540,29685.78335,29213.64938
Pixel Building,T0014,"10 Central Exchange Green, S(138649)",$0.60/30min from 7am to 7pm ,Free parking from 7pm to 7am the following day ,Charges same as weekdays ,Free parking from 7am to 7am the following day ,138649,23142.35504,31470.64897
PLUS,T0014,"20 Cecil Street, S(049705)",$2.50/30min from 7am to 6pm ,$3.50/entry from 6pm to 7am the following day ,$3.50/entry from 7am to 7am the following day ,$3.50/entry from 7am to 7am the following day ,49705,29909.15962,29506.1981
Precise Tree,T0014,"55 Kim Chuan Drive, S(537098)",$1.00/30min from 7am to 6pm ,$3.00/entry from 6pm to 7am the following day ,$3.00/entry from 7am to 7am the following day ,$3.00/entry from 7am to 7am the following day ,537098,34515.41233,35802.51469
Premier @ Kaki Bukit,T0014,"8 Kaki Bukit Avenue 4, S(415875)",$0.60/30min from 7am to 7am the following day ,$0.60/30min from 7am to 7am the following day ,$0.60/30min from 7am to 7am the following day ,$0.60/30min from 7am to 7am the following day ,415875,36105.43537,35615.58713
Primz Bizhub,T0014,"21 Woodlands Close, S(737854)",$0.167/min from 7am to 7pm ,$0.167/min from 7pm to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,737854,24821.92361,46303.16181
Prosper House,T0014,"101 Lorong 23 Geylang, S(388399)",$1.20/hr from 7am to 7pm ,"$2.00/entry from 7pm to 10.30pm, $4.00/entry from 10.30pm to 7am the following day ","$2.50/entry from 7am to 10.30pm, $4.00/entry from 10.30pm to 7am the following day ","$2.50/entry from 7am to 10.30pm, $4.00/entry from 10.30pm to 7am the following day ",388399,33294.39911,33318.18118
Proxima @ Gambas,T0014,"50 Gambas Crescent, S(757022)",$1.28/hr from 7.01am to 10.30pm ,$2.14/entry from 10.31pm to 7am the following day ,$2.14/entry from 7am to 7am the following day ,$2.14/entry from 7am to 7am the following day ,757022,26285.83561,47068.57904
Prudential Tower,T0014,"30 Cecil Street, S(049712)",Season Parking Only ,Season Parking Only ,Season Parking Only ,Season Parking Only ,49712,29842.43802,29471.81982
PSB Academy Campus @ Delta,T0014,"355 Jalan Bukit Ho Swee, S(169567)",$0.70/30min from 7am to 5.59pm ,$4.00/entry from 6pm to 11pm ,"$0.70/30min from 7am to 12.59pm, $4.00/entry from 1pm to 6pm ",$4.00/entry from 7am to 6pm ,169567,27246.76537,29929.21924
PWC Building,T0014,"8 Cross Street, S(048424)",$2.60/30min from 6am to 6pm  ,$3.20/entry from 6pm to 6am the following day  ,"$3.20/entry from 6am to 8pm, Carpark Closed after 8pm  ","$3.20/entry from 6am to 8pm, Carpark Closed after 8pm  ",48424,29743.8147,29433.17644
Raffles City,T0014,"252 North Bridge Road, S(179103)","$2.20 for 1st hr, $0.55 for next subsequent 15min from 8am to 5.59pm ",$3.00/entry from 6pm to 7.59am the following day ,"$2.20 for 1st 2hr, $0.40 for next subsequent 15min from 8am to 7.59am the following day, $0.60 for next subsequent 15min after the 5th hr ","$2.20 for 1st 2hr, $0.40 for next subsequent 15min from 8am to 7.59am the following day, $0.60 for next subsequent 15min after the 5th hr ",179103,30164.5875,30682.96589
Raffles Quay,T0014,"1 Raffles Quay, S(048583)",$1.07/10min from 6am to 6pm ,"$3.21 for 1st 4hr, $0.27 for next subsequent 10min block or thereof from 6.00pm to 6.00am ","$3.21 for 1st 4hr, $0.27/hr for next subsequent 10min from 6am to 6am the following day ","$3.21 for 1st 4hr, $0.27/hr for next subsequent 10min from 6am to 6am the following day ",48583,30096.94679,29327.385
Realty Centre,T0014,"15 Enggor Street, S(079716)",Private Car Park ,Private Car Park ,Private Car Park ,Private Car Park ,79716,29205.70701,28493.08398
Regency House,T0014,"121 Penang Road, S(238464)","$2.50 for 1st hr, $1.25 for next subsequent 30min from 8am to 5pm ","$2.50 for 1st hr, $1.25 for next subsequent 30min from 5pm to 8am the following day ",Charges same as weekdays ,Charges same as weekdays ,238464,28979.08707,31310.79131
Registry of Marriages (ROM),T0014,"7 Canning Rise, S(179869)",$1.20/30min from 7am to 5pm ,$0.60/30min from 5pm to 7am the following day ,charges same as weekdays ,$0.60/30min from 7am to 7am the following day ,179869,29617.4633,30743.92688
Republic Plaza,T0014,"9 Raffles Place, S(048619)",$3.00/30min from 7am to 5pm ,$3.50/entry from 5pm to 7am the following day ,$3.50/entry from 7am to 7am the following day ,$3.50/entry from 7am to 7am the following day ,48619,29950.97093,29480.69436
Revenue House (IRAS),T0014,"55 Newton Road, S(307987)",$0.45/15min from 6am to 6pm ,$2.20/entry from 6pm to 11pm ,"$0.45/15min from 6am to 1.30pm, $1.60/entry from 1.30pm to 11pm ",$1.60/entry from 6am to 11pm ,307987,28982.06674,33560.36222
Robinson 77,T0014,"77 Robinson Road, S(068896)",$2.50/30min from 7am to 5pm ,$3.00/entry from 5pm to 11pm ,"$2.50/30min from 7am to 2pm, $3.00/entry from 2pm to 11pm ",$3.00/entry from 7am to 7am the following day ,68896,29683.95652,28914.92397
Robinson Centre,T0014,"61 Robinson Road, S(068893)",$2.20/30min from 8am to 5pm ,$3.00/entry from 5pm to 8am the following day ,"Charges same as weekdays, but $2.50/entry after 1pm ","Charges same as weekdays, but $2.50/entry after 1pm ",68893,29786.85874,29084.8119
Robinson Point,T0014,"39 Robinson Road, S(068911)",$4.82/hr from 8am to 5.59pm ,$5.35/entry from 6pm to 7.59am the following day ,$5.35/entry from 8am to 7.59am the following day ,$5.35/entry from 8am to 7.59am the following day ,68911,29806.23573,29116.31024
Rutherford Building,T0014,"89 Science Park Drive, S(118261)","$1.60 for 1st hr, $1.07 for next subsequent 30min from 8am to 5pm ","$1.60 for 1st hr, $1.07 for next subsequent 30min from 5pm to 8am the following day ",Closed ,Closed ,118261,23327.8107,30043.78649
Sakae Building,T0014,"28 Tai Seng Street, S(534106)",$3.00/hr from 7am to 6.30pm ,"$3.00/entry from 6.31pm to 11.59pm, Additional Overnight Charge at $10.00 from 12midnight to 6.59am ",Charges same as weekdays ,$5.00/enty from 7am to 12midnight ,534106,34243.88294,35231.99679
Samsung Hub,T0014,"3 Church Street, S(049483)",$2.20/30min from 7am to 6pm ,$3.20/entry from 6pm to 12midnight ,$3.20/entry from 7am to 12midnight ,$3.20/entry from 7am to 12midnight ,49483,29815.5454,29524.19336
School of the Arts Singapore,T0014,"1 Zubir Said Drive, S(227968)",$2.50/hr from 7am to 5.59pm ,$5.00/entry from 6pm to 7am the following day ,"$2.50/hr from 7am to 5.59pm, $5.00/entry from 6pm to 6.59am the following day ","$2.50/hr from 7am to 5.59pm, $5.00/entry from 6pm to 6.59am the following day ",227968,29714.24237,31301.19881
SGX Centre,T0014,"2 Shenton Way, S(068804)",$2.50/30min from 7am to 5pm ,$3.00/entry from 5pm to 10pm ,$3.00/entry from 7am to 10pm ,$3.00/entry from 7am to 10pm ,68804,29839.38504,29093.84653
Shaw Centre,T0014,"1 Scotts Road, S(228208)","$2.00 for 1st hr, $1.50 for next subsequent 30min from 3.01am to 6pm ",$4.00/entry from 6.01pm to 3am the following day ,Charges same as weekdays ,Charges same as weekdays ,228208,27851.05171,32056.92377
Shaw House,T0014,"350 Orchard Road, S(238868)","$2.00 for 1st hr, $1.50 for next subsequent 30min from 3am to 6pm  ",$4.00/entry from 6.01pm to 3am the following day ,Charges same as weekdays ,Charges same as weekdays ,238868,27801.16142,32006.57461
Shenton House,T0014,"3 Shenton Way, S(068805)",$3.21/30min from 8am to 5pm ,$3.21/entry from 5pm to 8am the following day ,"$3.21/30min from 8am to 2pm, $3.21/entry from 2pm to 8am the following day ",$3.21/entry from 8am to 8am the following day ,68805,29864.47021,28997.65421
Shriro House,T0014,"11 Chang Charn Road, S(159640)","$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 5pm  ","$1.20 for 1st hr, $0.60 for next subsequent 30min from 5pm to 7am the following day ",Charges same as weekdays ,Charges same as weekdays ,159640,25558.59388,30091.08091
Shun Li Industrial Park,T0014,"61 Kaki Bukit Avenue 1, S(417943)","$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 11pm  ",$3.00/entry from 11pm to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,417943,36620.60271,35407.9457
Sim Lim Tower,T0014,"10 Jalan Besar, S(208787)",$1.90/30min all day ,$1.90/30min all day ,Charges same as weekdays ,Charges same as weekdays ,208787,30372.87499,31794.36079
Sin Ming AutoCity,T0014,"160 Sin Ming Drive, S(575722)",$0.60/30min from 7am to 10.30pm ,$0.60/30min from 10.30pm to 7am the following day capped at $5.00 ,Charges same as weekdays ,"Free parking from 7am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day capped at $5.00 ",575722,28594.65329,37955.78631
Singapore Conference Hall,T0014,"7 Shenton Way, S(068810)",Carpark closed ,Carpark closed ,Carpark closed ,Carpark closed ,68810,29726.89302,28721.3238
Singapore Discovery Centre (SDC),T0014,"510 Upper Jurong Road, S(638365)",$1.20/hr from 9am to 10pm ,$1.80/hr from 10pm to 9am the following dy ,Charges same as weekdays ,Charges same as weekdays ,638365,10823.80894,35001.82342
Singapore Expo,T0014,"1 Expo Drive, S(486150)","$3.20 for 1st 2hr, $1.50 for next subsequent 30min ","$3.20 for 1st 2hr, $1.50 for next subsequent 30min ",Charges same as weekdays ,Charges same as weekdays ,486150,42031.89571,35166.44851
Singapore Godown,T0014,"25 Tagore Lane, S(787602)","$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 11pm ",$2.40/entry from 11pm to 7am the following day ,Charges same as weekdays ,$2.40/entry from 7am to 7am the following day ,787602,27492.0486,40889.33466
Singapore Institute of Architects (SIA),T0014,"79 Neil Road, S(088904)",HDB / URA parking rates ,HDB / URA parking rates ,HDB / URA parking rates ,HDB / URA parking rates ,88904,28988.63529,29051.96877
Singapore Land Tower,T0014,"50 Raffles Place, S(048623)",Private Car Park ,Private Car Park ,Private Car Park ,Private Car Park ,48623,30093.27489,29677.26361
Singapore Pools Building,T0014,"210 Middle Road, S(188994)",$0.04/min from 8am to 5pm ,$0.02/min from 5pm to 8am the following day ,Charges same as weekdays ,"$0.015/min from 8am to 11.59am, $0.02/min from 12pm to 8am the following day ",188994,29999.22121,31502.16999
Singapore Tourism Board (STB),T0014,"1 Orchard Spring Lane, S(247729)",Private Parking only ,Private Parking only ,Private Parking only ,Private Parking only ,247729,26952.39652,31784.69897
Singapore-Johore Factory,T0014,"51 Kampong Bugis, S(338986)",$1.30/hr from 8am to 4.59pm ,$1.60/entry from 5pm to 7.59am the following day ,Charges same as weekdays ,Closed ,338986,31758.20311,32158.54453
SingPost Centre,T0014,"10 Eunos Road 8, S(408600)","$1.61 for 1st hr, $0.86 for next subsequent 30min from 6am to 6pm ",$2.68/entry from 6pm to 6am the following day ,"$1.61 for 1st hr, $0.86 for next subsequent 30min from 6am to 1pm, $2.68/entry from 1pm to 6am the following day ",$2.68/entry from 6am to 6am the following day ,408600,34833.69367,33471.95228
Six Battery Road,T0014,"6 Battery Road, S(049909)",$3.10/30min from 7am to 5.59pm ,$3.70/entry from 6pm to 6.59am the following day ,"$3.10/30min from 7am to 12.59pm, $3.70/entry from 1pm to 7am the following day ",$3.70/entry from 7am to 7am the following day ,49909,30052.82875,29765.86363
South Beach Tower,T0014,"38 Beach Road, S(189767)",$2.40/hr from 7am to 5.59pm ,$3.50/entry from 6pm to 6.59am the following day ,$5.00/entry from 6.59am to 6.59am the following day ,$5.00/entry from 6.59am to 6.59am the following day ,189767,30569.81405,30839.67059
South Point,T0014,"200 Cantonment Road, S(089763)","$3.00 for 1st hr, $2.00 for next subsequent 30min from 8am to 10pm ",$3.00/entry from 10pm to 8am the follwoing day ,Charges same as weekdays ,$5.00/entry from 8am to 8am the following day  ,89763,28884.03743,28434.39355
Space Tampines,T0014,"18 Tampines Industrial Crescent, S(528822)","$1.28 for 1st hr, $0.64 for next subsequent 30min from 8am to 6pm  ",$2.50/entry from 6pm to 8am the following day ,"Free parking for 1st 2hr, $0.64 for next subsequent 30min from 8am to 10pm, $2.50/entry from 10pm to 5.59am the following day ","Free parking for 1st 2hr, $0.64 for next subsequent 30min from 8am to 10pm, $2.50/entry from 10pm to 5.59am the following day ",528822,38509.5099,39310.93265
SPRING Singapore,T0014,"2 Bukit Merah Central, S(159835)",$0.50/30min from 7am to 6pm ,$2.50/entry from 6pm to 7am the following day ,"$0.50/30min from 7am to 1pm, $2.50/entry from 1pm to 7am the following day ",$2.50/entry from 7am to 7am the following day ,159835,25821.39072,29637.39486
Springleaf Tower,T0014,"3 Anson Road, S(079909)",Season Parking Only ,Season Parking Only ,Season Parking Only ,Season Parking Only ,79909,29439.31479,28623.04096
Standard Chartered @ Changi,T0014,"9 Changi Business Park Crescent, S(486041)",$0.60/30min from 7am to 7pm ,"$0.60/30min from 7pm to 7am the following day, capped at $4.00 ",Charges same as weekdays ,Charges same as weekdays ,486041,42629.51719,35633.80061
Sultan Link,T0014,"57 Mohamed Sultan Road, S(238997)","$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 6pm ","$3.00/entry from 6pm to 3am the following day, $20.00/entry from 3am to 7am ","$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 12pm, $3.00/entry from 12pm to 3am the following day, $20.00/entry from 3am to 7am ",$3.00/entry from 7am to 7am the following day ,238997,28705.61115,30487.33661
Sultan Plaza,T0014,"100 Jalan Sultan, S(199001)",$1.80/hr from 8am to 6pm ,"$3.00/entry from 6pm to 12midnight, $3.00/entry from 12midnight to 8am the following day ",Charges same as weekdays ,$3.00/entry from 8am to 8am the following day ,199001,31177.23713,31694.50171
Suntec City Mall,T0014,"3 Temasek Boulevard, S(038983)","$2.20 for 1st hr, $1.10 for subsequent 30min from 7am to 5pm ",$2.20/entry from 5pm to 7am the following day ,"$1.10/hr from 7am to 5pm, $2.80/entry from 5pm to 7am the following day ","$1.10/hr from 7am to 5pm, $2.80/entry from 5pm to 7am the following day ",38983,30808.3234,30898.73
Suzue PSA Cold Storage,T0014,"43 Keppel Road, S(099418)","$1.50 for 1st hr, $1.00 for next subsequent 30min from 7am to 5pm ","$1.50 for 1st hr, $1.00 for next subsequent 30min from 5pm to 7am the following day ",Charges same as weekdays ,Charges same as weekdays ,99418,27996.70957,28265.0778
Tagore 23 Warehouse,T0014,"23 Tagore Lane, S(787601)","$1.33 for 1st hr, $0.74 for next subsequent 30min from 7.01am to 6pm ",$2.62/entry from 6.01pm to 7am the following day ,Charges same as weekdays ,$2.62/entry from 7.01am to 7am the following day ,787601,27426.57184,40783.06483
Tagore Industrial Building,T0014,"6 Tagore Drive, S(787623)",$0.60/30min from 8am to 4.59pm ,$2.40/entry from 5pm to 7.59am the following day ,Charges same as weekdays ,Charges same as weekdays ,787623,27268.16889,40942.03591
Tai Seng Centre,T0014,"3 Irving Road, S(369522)",$1.20/hr from 7am to 5pm ,$1.20/hr from 5pm to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,369522,33963.94561,35332.60621
Tai Seng Point,T0014,"11 Irving Place, S(369551)",$1.20/hr from 7am to 5pm ,$1.20/hr from 5pm to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,369551,34008.20394,35395.67594
