name,car_park_no,address,weekday_before_5,weekday_after_5,sat,sun,postal,x_coord,y_coord
Farrer Park Medical Centre,T0014,"1 Farrer Park Station Road, S(217562)","$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 5.59pm ",$3.00/entry from 6pm to 6.59am the following day ,Charges same as weekdays ,Charges same as weekdays ,217562,30303.65899,32771.11619
Foot Care & Limb Design Centre (FLC),T0014,"11 Jalan Tan Tock Seng, S(308433)",$2.40/hr from 7am to 6pm ,$2.40/entry from 6pm to 7am the following day ,$2.40/entry from 7am to 7am the following day ,$2.40/entry from 7am to 7am the following day ,308433,29845.41091,33529.12136
Gleneagles Hospital,T0014,"6A Napier Road, S(258500)","$2.00 for the 1st 30min, $0.80 for next subsequent 15min from 6am to 8pm ","$2.00 for the 1st 30min, $0.80 for next subsequent 15min from 6am to 8pm ",Charges same as weekdays ,Charges same as weekdays ,258500,26453.31627,32187.2723
Health Promotion Board,T0014,"3 Second Hospital Avenue, S(168937)",$0.036/min from 7am to 10pm  ,$2.14/entry from 10pm to 7am the following day  ,Charges same as weekdays ,"$0.018/min from 7am to 10pm, $2.14/entry from 10pm to 7am the following day ",168937,28559.55154,29117.7829
Institute Of Mental Health (IMH),T0014,"10 Buangkok View, S(539747)",Free Parking ,Free Parking ,Free Parking ,Free Parking ,539747,33774.85625,40395.28089
Jurong Medical Centre,T0014,"60 Jurong West Central 3, S(648346)","$2.15 for 1st hr, $1.07 for next subsequent 30min from 8am to 5pm ","$2.15 for 1st hr, $1.07 for next subsequent 30min from 5pm to 8am the following day ",Charges same as weekdays ,Charges same as weekdays ,648346,13669.40067,35853.64769
Khoo Teck Puat Hospital,T0014,"90 Yishun Central, S(768828)",$0.03/min from 8am to 5pm  ,$0.03/min from 5pm to 8am the following day  ,Charges same as weekdays  ,Charges same as weekdays  ,768828,28566.38959,45069.22889
KK Women's and Children's Hospital,T0014,"100 Bukit Timah Road, S(229899)",$0.047/min from 6am to 6pm ,$2.40/entry from 6pm to 6am the following day ,$2.40/entry from 6am to 6am the following day ,$2.40/entry from 6am to 6am the following day ,229899,29483.66955,32528.26226
Kwong Wai Shui Hospital,T0014,"705 Serangoon Road, S(328127)",Free Parking ,Free Parking ,Free Parking ,Free Parking ,328127,30830.11205,33291.27355
Lee Kong Chian School of Medicine (LKCMedicine),T0014,"11 Mandalay Road, S(308232)",$0.04/min from 6am to 6pm ,Carpark closed ,Carpark closed ,Carpark closed ,308232,29739.53829,33730.88256
